scenario,step,time_index,timestamp,P_i,P_e,P_pv,P_pv_actual,P_pv_used,P_curt,P_ul,P_ul_actual,P_b_ch,P_b_dsc,P_fc,P_ely,P_g,P_c,P_h,P_pev,SoC_b,SoH_h,T_in,T_ex,T_ex_forecast,T_sp,comfort_low,comfort_high,SoC_pev,UR_pev,c_l,p_e,step_cost,objective,power_balance_residual,slack_pev,slack_temp_low,slack_temp_high,delta_i,delta_e,delta_b_ch,delta_b_dsc,delta_fc,delta_ely,delta_g,delta_c,delta_h
scenario_B_summer_cf_0_45,0,4680,2022-07-15 00:00:00,186.84369342184675,0.0,0.0,0.0,0.0,0.0,186.84369342184675,185.37148829718163,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.5,0.5,22.197021558945828,23.823421750496376,23.57000000000005,22.0,20.0,24.0,0.3,1.0,0.46868,0.415,87.56990223295114,3350.4350154941308,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,1,4681,2022-07-15 01:00:00,207.43512371756188,0.0,0.0,0.0,0.0,0.0,197.43512371756188,203.85355281164294,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,10.0,0.5,0.5,22.354259626322904,23.75805430219565,23.450000000000045,22.0,20.0,24.0,0.6,1.0,0.46868,0.4,97.2206937839469,3374.756232170934,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,2,4682,2022-07-15 02:00:00,231.38201569100784,0.0,0.0,0.0,0.0,0.0,231.38201569100784,220.38457016880045,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.5,0.5,22.45411823074201,23.326925909179202,23.150000000000034,22.0,20.0,24.0,0.6,1.0,0.46868,0.39406,108.44412311406155,3383.179461138948,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,3,4683,2022-07-15 03:00:00,227.0368135184068,0.0,0.0,0.0,0.0,0.0,227.0368135184068,232.9168782522961,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.5,0.5,22.481209544580988,22.302005411298254,22.670000000000016,22.0,20.0,24.0,0.6,1.0,0.46868,0.38921,106.40761375980689,3359.8868853996605,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,4,4684,2022-07-15 04:00:00,236.14765640716155,0.0,0.0,0.0,0.0,0.0,229.4809897404949,242.5473339075652,0.0,0.0,0.0,0.0,1.687538997430238e-14,0.0,0.0,6.666666666666669,0.5,0.5,22.412037465740756,22.043145107346884,21.930000000000007,22.0,20.0,24.0,0.8,1.0,0.46868,0.4,110.67768360490848,3339.2672281878317,1.687538997430238e-14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,5,4685,2022-07-15 05:00:00,192.65427785124643,0.0,2.608244780014914,7.196041300714419,2.608244780014914,0.0,195.26252263126133,196.96503969022257,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,0.5,0.5,22.41680143878617,21.96421530553468,22.450000000000045,22.0,20.0,24.0,0.8,1.0,0.46868,0.42848,90.29320694332218,3334.3607491695257,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,6,4686,2022-07-15 06:00:00,262.1798982039725,0.0,5.065599366144668,0.0,5.065599366144668,0.0,208.29812914906458,213.3709030479788,58.94736842105265,0.0,0.0,0.0,2.6645352591003757e-14,0.0,0.0,0.0,0.9000000000000001,0.5,22.617989132945443,24.076550885411848,24.02000000000004,22.0,20.0,24.0,0.8,1.0,0.46868,0.44445,122.87847469023785,3344.890651814064,-2.1316282072803006e-14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,7,4687,2022-07-15 07:00:00,283.1531157326829,0.0,12.976556674123788,13.66163662800971,12.976556674123788,0.0,309.05250452625233,290.01198904630104,0.0,12.922832119445593,0.0,0.0,0.0,0.0,0.0,0.0,0.7974378403218606,0.5,23.110167919715856,26.509937136314722,26.54000000000002,22.0,20.0,24.0,0.8,1.0,0.54858,0.45617,155.3321362286352,3317.896406482188,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,8,4688,2022-07-15 08:00:00,311.60252732065214,0.0,19.175988068605516,20.62962499786982,19.175988068605516,0.0,330.7785153892577,347.1281272170741,0.0,0.0,0.0,0.0,-2.3092638912203256e-14,0.0,0.0,0.0,0.7974378403218606,0.5,23.806624332674534,28.849639738233556,28.660000000000025,22.0,20.0,24.0,0.8,0.0,0.53276,0.44445,166.00936245535064,3241.3347469585956,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,9,4689,2022-07-15 09:00:00,301.1042059736892,0.0,25.36248601789709,15.532907019985192,25.36248601789709,0.0,325.0754375377188,315.23679663194196,0.0,0.0,0.0,0.0,-1.1324274851176597e-14,1.391254453867487,0.0,0.0,0.7974378403218606,0.5,24.0,30.338030770747533,30.370000000000005,22.0,20.0,24.0,0.8,0.0,0.53276,0.43321,160.41627677454267,3139.730487078084,-1.176836406102666e-14,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,10,4690,2022-07-15 10:00:00,303.51673692739394,0.0,20.80129101416853,19.91972810776954,20.80129101416853,0.0,322.08811104405555,325.3276767322694,0.0,0.0,0.0,0.0,-3.019806626980426e-14,2.229916897506932,0.0,0.0,0.7974378403218606,0.5,24.0,31.791055534191845,32.05000000000001,22.0,20.0,24.0,0.8,0.0,0.53276,0.43321,161.70157676543838,3049.9703051447627,-4.973799150320701e-14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
scenario_B_summer_cf_0_45,11,4691,2022-07-15 11:00:00,330.0,0.0,21.38329604772558,24.875220840365117,21.38329604772558,0.0,353.3192516596259,368.9041765957762,0.0,4.370858658991704,0.0,0.0,-2.353672812205332e-14,2.4349030470914204,0.0,0.0,0.7627484858854185,0.5,24.0,32.7148170966074,32.79000000000002,22.0,20.0,24.0,0.8,0.0,0.53276,0.4282523,175.8108,2956.054227027204,1.8207657603852567e-14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
